"time","channel","station","value","g1","g2","g3","g4","g5","g6"
"79","Vertical_up","BK.BKS",-1.2538229674019e-07,-8.71639984999256e-09,-5.2233103154683e-09,-1.44031199111187e-09,-1.93676310789689e-08,3.37635344178482e-09,2.82187887467446e-09
"80","Vertical_up","BK.BKS",-2.59396342379996e-07,-8.64204980357733e-09,-4.79048304209591e-09,-2.30154743885266e-10,-2.1355228194158e-08,6.72929129771745e-09,5.62418753900403e-09
"81","Vertical_up","BK.BKS",-3.66076014135905e-07,-7.51552381432328e-09,-3.62708454143505e-09,8.10561185855439e-10,-2.15596699042328e-08,9.28759674050135e-09,7.76236063267764e-09
"82","Vertical_up","BK.BKS",-4.33970945063836e-07,-5.50349722845304e-09,-1.8907013454663e-09,1.57952144050072e-09,-2.00313496501414e-08,1.08644752315056e-08,9.08027955864799e-09
"83","Vertical_up","BK.BKS",-4.57239799440887e-07,-2.84200148955752e-09,2.19008785443854e-10,2.01143741215689e-09,-1.69719433610893e-08,1.13769914430213e-08,9.5086288695661e-09
"84","Vertical_up","BK.BKS",-4.37055687239888e-07,1.91609233104914e-10,2.48262887957984e-09,2.07943999593516e-09,-1.27026870823222e-08,1.08454567267867e-08,9.06438432800360e-09
"85","Vertical_up","BK.BKS",-3.74814023989672e-07,3.3071103853749e-09,4.68251168177657e-09,1.79416815383007e-09,-7.62598972369912e-09,9.38356003672161e-09,7.84256455771604e-09
"86","Vertical_up","BK.BKS",-2.74514655464064e-07,6.2279124286486e-09,6.62183101768384e-09,1.2004608472673e-09,-2.18410373744447e-09,7.17993849188785e-09,6.00082814227232e-09
"87","Vertical_up","BK.BKS",-1.45179320494649e-07,8.71395796581324e-09,8.14005399878209e-09,3.71135856485111e-10,3.18204277284e-09,4.47357164431694e-09,3.73890871767482e-09
"88","Vertical_up","BK.BKS",8.00864804957691e-10,1.05797384027064e-08,9.12409081684569e-09,-6.02167914711918e-10,8.07091978184341e-09,1.52665995478626e-09,1.27594742360429e-09
"89","Vertical_up","BK.BKS",1.47413958392793e-07,1.17063201287461e-08,9.51455936411018e-09,-1.62002174920186e-09,1.21523406380732e-08,-1.40126475185092e-09,-1.17114498504155e-09
"90","Vertical_up","BK.BKS",2.77411483368067e-07,1.20465245215935e-08,9.30682248693989e-09,-2.58617676816808e-09,1.51904317793839e-08,-4.07536059291261e-09,-3.40609304153348e-09
"91","Vertical_up","BK.BKS",3.78159621161005e-07,1.16230094558413e-08,8.54689291166109e-09,-3.41655486510397e-09,1.70557009188456e-08,-6.3025103127542e-09,-5.26749376675964e-09
"92","Vertical_up","BK.BKS",4.4538447174163e-07,1.05199100399508e-08,7.32292632456237e-09,-4.04526088308058e-09,1.77258557369176e-08,-7.94327842815021e-09,-6.63881017746926e-09
"93","Vertical_up","BK.BKS",4.73783831574367e-07,8.86959174477379e-09,5.75361508236556e-09,-4.42780752232593e-09,1.72767075827097e-08,-8.91889663769392e-09,-7.45420953145508e-09
"94","Vertical_up","BK.BKS",4.59369249319094e-07,6.83656865193173e-09,3.97509204845346e-09,-4.5424295308124e-09,1.58656177144958e-08,-9.21308666895528e-09,-7.70008682145745e-09
"95","Vertical_up","BK.BKS",4.09736956433528e-07,4.60057511340577e-09,2.12784732039447e-09,-4.39018691727266e-09,1.37101781046326e-08,-8.8683960470449e-09,-7.4120022944557e-09
"96","Vertical_up","BK.BKS",3.37260131045285e-07,2.34032023997532e-09,3.44776942887375e-10,-3.99386264407284e-09,1.10644018706415e-08,-7.97719837790409e-09,-6.66715969457132e-09
"97","Vertical_up","BK.BKS",2.49810800723902e-07,2.18950201465563e-10,-1.25892975940709e-09,-3.39514804427817e-09,8.19418843355838e-09,-6.66846785289763e-09,-5.57335269692326e-09
"98","Vertical_up","BK.BKS",1.51279059828681e-07,-1.62804089287234e-09,-2.59361041020151e-09,-2.64976057578481e-09,5.35365441048633e-09,-5.09230631981704e-09,-4.25603298796428e-09
"99","Vertical_up","BK.BKS",4.89069981254141e-08,-3.10175214497024e-09,-3.60027766416891e-09,-1.820895685752e-09,2.76410273594839e-09,-3.40445437598702e-09,-2.84536499185711e-09
"100","Vertical_up","BK.BKS",-4.52102869014525e-08,-4.14498360822234e-09,-4.25275815658773e-09,-9.7222425495554e-10,5.97562035502684e-10,-1.75251540327692e-09,-1.4647122344616e-09
"101","Vertical_up","BK.BKS",-1.18678478603439e-07,-4.74306975793764e-09,-4.55667396373338e-09,-1.61885552522852e-10,-1.03348194804037e-09,-2.64723087748938e-10,-2.21249493525308e-10
"102","Vertical_up","BK.BKS",-1.66936632442196e-07,-4.92054154233645e-09,-4.54549892164142e-09,5.61604560982999e-10,-2.07944487100021e-09,9.58610472688684e-10,8.01184677067436e-10
"103","Vertical_up","BK.BKS",-1.91418355956274e-07,-4.73437842202112e-09,-4.27436696657444e-09,1.16154086308661e-09,-2.55055934671432e-09,1.85097150576675e-09,1.54699958988489e-09
"104","Vertical_up","BK.BKS",-1.96038685231169e-07,-4.26507850097095e-09,-3.81260748195089e-09,1.61400625635593e-09,-2.50875097351292e-09,2.38258511108448e-09,1.99131006513615e-09
"105","Vertical_up","BK.BKS",-1.83044974273344e-07,-3.60684592380401e-09,-3.2359966251929e-09,1.90834110235182e-09,-2.05619476122948e-09,2.5599586777394e-09,2.13955482958373e-09
"106","Vertical_up","BK.BKS",-1.52987349935103e-07,-2.85791676000972e-09,-2.6194819567146e-09,2.04724367797543e-09,-1.32201515620052e-09,2.42182801243075e-09,2.0241083832623e-09
"107","Vertical_up","BK.BKS",-1.09023276148877e-07,-2.11166098111565e-09,-2.030833998821e-09,2.04603823294168e-09,-4.48149742180105e-10,2.03200033453879e-09,1.69829933868988e-09
"108","Vertical_up","BK.BKS",-5.95874191412354e-08,-1.4488610219338e-09,-1.52548019184374e-09,1.930527303587e-09,4.24819290122918e-10,1.4703149754379e-09,1.22885558038983e-09
"109","Vertical_up","BK.BKS",-1.48842080457197e-08,-9.31563708374708e-10,-1.14274508266132e-09,1.73334432840848e-09,1.17090698864375e-09,8.23241561936643e-10,6.88046441949211e-10
"110","Vertical_up","BK.BKS",2.21901145670969e-08,-5.98998628972455e-10,-9.03763943072429e-10,1.48948554979734e-09,1.68978839815461e-09,1.75339619573126e-10,1.46544838062127e-10
"111","Vertical_up","BK.BKS",5.42690207532867e-08,-4.66016327328539e-10,-8.11293774103697e-10,1.23214847401616e-09,1.91441019273511e-09,-3.97837098522774e-10,-3.32503134887957e-10
"112","Vertical_up","BK.BKS",7.92691287410158e-08,-5.24193667308864e-10,-8.51426766324002e-10,9.8979840578187e-10,1.81436229329749e-09,-8.35340327480341e-10,-6.98158313080615e-10
"113","Vertical_up","BK.BKS",9.124662732341e-08,-7.45271049322918e-10,-9.96879598145788e-10,7.8467996455789e-10,1.39505772805213e-09,-1.09499214937719e-09,-9.15169358758977e-10
"114","Vertical_up","BK.BKS",8.57905572379683e-08,-1.08616810776974e-09,-1.2112551572219e-09,6.32296559222184e-10,6.93552169963532e-10,-1.15593145098194e-09,-9.66101031286998e-10
"115","Vertical_up","BK.BKS",6.55795480366092e-08,-1.49468382225469e-09,-1.45359663585597e-09,5.4116658693129e-10,-2.27810212242827e-10,-1.01912491443376e-09,-8.51761261455731e-10
"116","Vertical_up","BK.BKS",3.80040475278853e-08,-1.91516123663443e-09,-1.68269883102878e-09,5.12525278505297e-10,-1.28890086183061e-09,-7.05543164200027e-10,-5.89676816884006e-10
"117","Vertical_up","BK.BKS",9.10315400103447e-09,-2.29372707422609e-09,-1.86089370827928e-09,5.40241734405244e-10,-2.39986890329392e-09,-2.52202845408086e-10,-2.10785361740344e-10
"118","Vertical_up","BK.BKS",-2.13647540454835e-08,-2.58295943515412e-09,-1.95721648721543e-09,6.11547285426157e-10,-3.46946691350516e-09,2.93146870423822e-10,2.4500544006691e-10
